"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC30A3",-0.827029629305846,9.59903578291437,-8.58102569075682,2.96708442548779e-15,4.8113746529639e-13,24.1366518079759
"CAVIN1",0.815510501530476,9.4806446599583,8.55621716369448,3.46920145908259e-15,5.42258925339044e-13,23.9844038446807
"AEBP1",0.878023824253295,8.07540490606985,8.55272527752241,3.54633603420481e-15,5.47683753091995e-13,23.9629900727885
"ITPRIP",0.638771664720015,7.7286174818124,8.53801247641055,3.89046298405969e-15,5.96098576431633e-13,23.8728073529318
"PLIN4",0.674518980902215,7.83052484876865,8.52577443348411,4.20179269274504e-15,6.33819255876944e-13,23.7978463797825
"PEX11B",-0.593751578270439,9.38947786987403,-8.50556411689198,4.77092212298382e-15,7.08682241153757e-13,23.6741583751896
"PCSK1",-1.18340088740147,8.26370353684525,-8.49142447064944,5.21393251497476e-15,7.51540094880695e-13,23.5877012903584
"PDGFRB",0.691470841178717,9.66227847593207,8.48722267471862,5.35327574310668e-15,7.6036053054827e-13,23.5620217900739
"SPCS1",-0.594450907593484,10.1299009811908,-8.48549367849832,5.4116810222792e-15,7.63086239221238e-13,23.551456596372
"SLC16A14",-0.584231536643977,7.46004176602692,-8.39953381319935,9.27035781259062e-15,1.25272147691112e-12,23.0274206744093
"CCKBR",-0.598433759029853,7.63249146693819,-8.38632049776601,1.00678504357877e-14,1.33272314034008e-12,22.9470843235585
"TSPAN7",-0.791194051100449,12.53401718263,-8.38513417468782,1.01426948292823e-14,1.33355877488516e-12,22.9398743727184
"SLC7A2",0.911657614547791,9.18165284760554,8.37782805850039,1.06159475538666e-14,1.38641425134691e-12,22.8954813380571
"ADCYAP1",-0.679858508456943,7.14434704183139,-8.37422368475448,1.08574209335315e-14,1.40849702630393e-12,22.8735871895784
"TEAD2",0.729913741574149,8.04408662460363,8.34406848494532,1.3103114453529e-14,1.62013076947754e-12,22.6905849523718
"TSPO",0.68598277731731,9.57530263836501,8.34242277016174,1.32381310625895e-14,1.62013076947754e-12,22.6806064219904
"SORBS1",0.625032466593555,11.4565746804957,8.34060108289738,1.33891935178207e-14,1.62837697914546e-12,22.6695619738968
"SCG3",-0.639288911971191,10.3603256423807,-8.32662523427027,1.46064167710648e-14,1.76538052141708e-12,22.5848670242187
"MRPS30",-0.599132541987762,7.92060826075734,-8.30097594417866,1.71325826037077e-14,2.03282271271676e-12,22.4296019570672
"NOTCH1",0.671234779638292,8.94611828848564,8.2794152382093,1.95877352181889e-14,2.29613096151047e-12,22.2992599045298
"HOPX",-0.91273000839035,10.8908861228113,-8.2354338736716,2.57284929180011e-14,2.89393493463228e-12,22.0338716903574
"PRKCG",-0.621747892332183,7.11181633797212,-8.20779839155315,3.05268735299654e-14,3.3003051332281e-12,21.8674586719862
"CSRNP1",0.705983836707333,9.09450232929107,8.20689352363158,3.06981463134943e-14,3.3003051332281e-12,21.8620143112088
"ITPKB",0.907671027183385,9.42238223831793,8.17789172806065,3.67218842525594e-14,3.86254673335435e-12,21.6876696512018
"SLC25A18",0.746665011458742,9.91964946798,8.1731838990472,3.78045668904485e-14,3.95504874796364e-12,21.65939633501
"UQCRC2",-0.661039130519115,8.75717248738523,-8.16386599229785,4.00415593741943e-14,4.14451438224706e-12,21.6034597846988
