,symbol,correlation,pvalue
234,S100A4,0.771428571,0.102777778
235,PPP1R16A,0.828571429,0.058333333
236,FOXC1,0.828571429,0.058333333
237,PRKX,0.771428571,0.102777778
238,KCNK12,0.828571429,0.058333333
239,SVOP,0.142857143,0.802777778
240,CHCHD2,0.142857143,0.802777778
241,MOB3C,0.828571429,0.058333333
242,CIAO1,0.828571429,0.058333333
243,CDH26,0.771428571,0.102777778
244,SSC5D,0.771428571,0.102777778
245,WASF1,0.142857143,0.802777778
246,BRAT1,0.828571429,0.058333333
247,DNM3,0.142857143,0.802777778
248,THNSL1,0.142857143,0.802777778
249,UIMC1,0.828571429,0.058333333
250,NDRG4,0.142857143,0.802777778
251,SC5D,0.142857143,0.802777778
252,CLEC16A,0.828571429,0.058333333
253,FAAP20,0.828571429,0.058333333
254,CISD1,0.142857143,0.802777778
255,MYH3,0.771428571,0.102777778
256,GLO1,0.142857143,0.802777778
257,SNORA18,0.142857143,0.802777778
258,PGAM4,0.142857143,0.802777778
259,UBE2N,0.142857143,0.802777778
260,ENPP5,0.142857143,0.802777778
261,CHN1,0.142857143,0.802777778
262,PABPC1L,0.771428571,0.102777778
263,FBXW7,0.142857143,0.802777778
264,BABAM2,0.142857143,0.802777778
265,BEX3,0.142857143,0.802777778
266,PITPNB,0.142857143,0.802777778
267,JPT2,0.771428571,0.102777778
268,A2ML1,0.771428571,0.102777778
269,FHIP1B,0.142857143,0.802777778
270,KIFAP3,0.142857143,0.802777778
271,CLVS1,0.142857143,0.802777778
272,KDM5A,0.771428571,0.102777778
273,EDA,0.771428571,0.102777778
274,ACACB,0.828571429,0.058333333
275,RGS7,0.142857143,0.802777778
276,DFFA,0.828571429,0.058333333
277,YWHAG,0.142857143,0.802777778
278,TRMT10C,0.142857143,0.802777778
279,CDK10,0.828571429,0.058333333
280,MRPL21,0.142857143,0.802777778
281,PER1,0.771428571,0.102777778
282,DAB2,0.771428571,0.102777778
283,FBL,0.828571429,0.058333333
284,CEP104,0.771428571,0.102777778
285,SCN2B,0.142857143,0.802777778
286,BRINP2,0.142857143,0.802777778
287,HERC1,0.142857143,0.802777778
288,PEDS1,0.828571429,0.058333333
289,ITPRIPL2,0.828571429,0.058333333
290,TNFRSF10B,0.828571429,0.058333333
291,SCRIB,0.828571429,0.058333333
292,LATS2,0.771428571,0.102777778
293,SIPA1,0.828571429,0.058333333
294,PAK2,0.828571429,0.058333333
295,LYG1,0.771428571,0.102777778
296,NUDT15,0.771428571,0.102777778
297,ENKD1,0.828571429,0.058333333
298,PLCG1,0.828571429,0.058333333
299,RIMS1,0.142857143,0.802777778
300,CNNM3,0.828571429,0.058333333
301,CALM2,0.142857143,0.802777778
302,CD151,0.828571429,0.058333333
303,CAB39L,0.771428571,0.102777778
304,NBEAL2,0.771428571,0.102777778
305,SCOC,0.142857143,0.802777778
306,ATP5F1B,0.142857143,0.802777778
307,GRTP1,0.771428571,0.102777778
