,symbol,correlation,pvalue
462,CDIP1,0.257142857,0.658333333
463,ARSG,1,0.002777778
464,ARF3,1,0.002777778
465,CNPY4,0.485714286,0.355555556
466,NREP,1,0.002777778
467,GCK,0.257142857,0.658333333
468,COLGALT1,0.485714286,0.355555556
469,CADM4,0.485714286,0.355555556
470,CENPB,0.485714286,0.355555556
471,CCDC125,0.485714286,0.355555556
472,ZCCHC24,0.485714286,0.355555556
473,YWHAB,1,0.002777778
474,PGAM1,1,0.002777778
475,CCDC93,0.485714286,0.355555556
476,CHGB,1,0.002777778
477,POLA1,0.485714286,0.355555556
478,INTS9,0.485714286,0.355555556
479,U2AF2,0.485714286,0.355555556
480,ZBTB14,0.485714286,0.355555556
481,PSD4,0.257142857,0.658333333
482,ZNF598,0.485714286,0.355555556
483,CBLN4,1,0.002777778
484,PYROXD2,0.257142857,0.658333333
485,CCDC85C,0.485714286,0.355555556
486,CAPRIN1,1,0.002777778
487,NEK7,0.485714286,0.355555556
488,SLC6A9,0.257142857,0.658333333
489,SLC25A35,0.257142857,0.658333333
490,CSNK1G2,0.485714286,0.355555556
491,PPP2R2B,1,0.002777778
492,SLC12A2-DT,0.257142857,0.658333333
493,EIF2B4,0.485714286,0.355555556
494,PDHB,1,0.002777778
495,IL15,0.257142857,0.658333333
496,NDFIP1,1,0.002777778
497,FGF12,1,0.002777778
498,NSG2,1,0.002777778
499,INPPL1,0.485714286,0.355555556
500,FKBP1A,1,0.002777778
501,PDP1,1,0.002777778
502,UBE2W,1,0.002777778
503,SERPINB6,0.485714286,0.355555556
504,CGN,0.257142857,0.658333333
505,PFDN1,1,0.002777778
506,SYNGR1,1,0.002777778
507,ERLEC1,1,0.002777778
508,YWHAZ,1,0.002777778
509,LMNB2,0.485714286,0.355555556
510,PLOD1,0.485714286,0.355555556
511,PROM2,0.257142857,0.658333333
512,STMN2,1,0.002777778
513,DDAH2,0.257142857,0.658333333
514,SLC8A1,1,0.002777778
515,VAMP2,1,0.002777778
516,UBIAD1,0.257142857,0.658333333
517,PLEKHA7,0.257142857,0.658333333
518,ZXDB,1,0.002777778
519,CAMK1G,1,0.002777778
520,TUBA1B,1,0.002777778
521,MS4A14,0.257142857,0.658333333
522,TMEM14B,1,0.002777778
523,FAM107B,0.485714286,0.355555556
524,TRIP10,0.257142857,0.658333333
525,NAV2,0.485714286,0.355555556
526,TOMM20,1,0.002777778
527,RCC2,0.485714286,0.355555556
528,XPNPEP2,1,0.002777778
529,RAMP1,0.485714286,0.355555556
530,MYOT,0.485714286,0.355555556
531,NSRP1,0.485714286,0.355555556
532,MVB12A,0.485714286,0.355555556
533,SYNGR3,1,0.002777778
534,TBL2,1,0.002777778
535,MRGBP,0.485714286,0.355555556
536,RNF216,0.485714286,0.355555556
537,PSMG1,1,0.002777778
538,MXD4,0.485714286,0.355555556
539,MORC4,0.257142857,0.658333333
540,GSKIP,1,0.002777778
541,GSTM3,0.485714286,0.355555556
542,C2CD2,0.485714286,0.355555556
543,RALGDS,0.485714286,0.355555556
544,HPRT1,1,0.002777778
545,CHST12,0.485714286,0.355555556
546,MTIF2,0.485714286,0.355555556
547,TLNRD1,1,0.002777778
548,ARF5,1,0.002777778
549,STX12,1,0.002777778
550,ACTR10,1,0.002777778
551,WWC1,0.485714286,0.355555556
552,BBX,0.485714286,0.355555556
553,PAWR,0.257142857,0.658333333
554,RNF166,0.257142857,0.658333333
555,RBM14,0.485714286,0.355555556
556,MTG1,0.257142857,0.658333333
557,PLCD3,0.257142857,0.658333333
558,RINL,0.257142857,0.658333333
